Date,7-Apr-22,
Reference, KJ Lab Diary 2 p.145
w,1.00E+04
s1,-0.171943,0.177176
s2,0.089243,0.176526
s3,0.118143,0.172736
s4,0.001643,0.176510
s5,0.261100,0.172200
s6,-0.006560,0.175200
s7,-0.098690,0.173940
s8,-0.020930,0.176550
s9,-0.163070,0.173750
s10,-0.198120,0.174670
s11,0.003170,0.173270
s12,-0.171850,0.171390
