Date,27-Sep-21,
Reference, Minyu lab book
w,1.00E+04
s1,-0.167333,0.141049
s2,0.093293,0.140649
s3,0.119893,0.138359
s4,0.005113,0.142539
s5,0.263233,0.139309
s6,-0.003933,0.142669
s7,-0.093615,0.141569
s8,-0.018605,0.141879
s9,-0.155655,0.142459
s10,-0.195455,0.141619
s11,-0.002665,0.140449
s12,-0.167275,0.135589
