Date,03-Sep-21,
Reference,KJ Lab Diary 2 p.129
w,1.00E+04
s1,-0.171070,0.179730
s2,0.089420,0.180730
s3,0.114820,0.179310
s4,0.001230,0.182530
s5,0.260180,0.180430
s6,-0.008380,0.183070
s7,-0.097390,0.179690
s8,-0.023900,0.181770
s9,-0.158890,0.180530
s10,-0.199730,0.180600
s11,-0.007730,0.182900
s12,-0.171090,0.179400
