Date,08-Oct-21,
Reference, KJ Lab Diary 2 p. 141
w,1.00E+04
s1,-0.170700,0.170140
s2,0.090000,0.169240
s3,0.117240,0.170000
s4,0.001740,0.174100
s5,0.259020,0.170600
s6,-0.006920,0.173810
s7,-0.097000,0.170730
s8,-0.021100,0.171930
s9,-0.159300,0.170730
s10,-0.198600,0.169100
s11,-0.005340,0.168390
s12,-0.170650,0.166290
