Date,Decimal Date,Name,ppm value,uncertainty,k
19 July 2030,2030.5438356164384,AH11A1,-4.8139544710999616,0.06756236182550845,2.0859634472658364
19 July 2030,2030.5438356164384,AH11B1,-4.5371798033280015,0.06755485044334669,2.0859634472658364
19 July 2030,2030.5438356164384,AH11C1,-4.479790413688285,0.0671617335876857,2.0859634472658364
19 July 2030,2030.5438356164384,AH11D1,-3.9855628966572,0.06731277911595121,2.0859634472658364
19 July 2030,2030.5438356164384,AH11A2,-4.599480745190789,0.06755729897221059,2.0859634472658364
19 July 2030,2030.5438356164384,AH11B2,-4.688787844057316,0.06754209745497253,2.0859634472658364
19 July 2030,2030.5438356164384,AH11C2,-4.218685253838132,0.06731691197553868,2.0859634472658364
19 July 2030,2030.5438356164384,AH11D2,-3.0281969117126835,0.0673118856797977,2.0859634472658364
19 July 2030,2030.5438356164384,ES14,98.56877218472619,0.12256777692694666,2.0859634472658364
19 July 2030,2030.5438356164384,ES13,-16.03311765957642,0.12130643650246717,2.0859634472658364
19 July 2030,2030.5438356164384,ES16,19.84941570193007,0.6521782877784237,2.0859634472658364
19 July 2030,2030.5438356164384,GR10,12.753599823431419,1.6176503455256082,2.0859634472658364
19 July 2030,2030.5438356164384,GR100,38.302497464896305,0.2316470720662097,2.0859634472658364
19 July 2030,2030.5438356164384,GR1000A,30.102543594163137,0.23198162745030848,2.0859634472658364
19 July 2030,2030.5438356164384,GR1000B,12.257659949421637,1.0301284136805338,2.0859634472658364
19 July 2030,2030.5438356164384,ES13ES16,2.0017558999217044,0.09637316336273033,2.0859634472658364
