Date,AH11A1,AH11B1,AH11C1,AH11D1,AH11A2,AH11B2,AH11C2,AH11D2,ES14,ES13,ES16,GR10,GR100,GR1000A,GR1000B,ES13ES16,uAH11A1,AH11B1,AH11C1,uAH11D1,uAH11A2,uAH11B2,uAH11C2,uAH11D2,uES14,uES13,uES16,uGR10,uGR100,uGR1000A,uGR1000B,uES13ES16
2019.8712328767124,-4.99949599488958,-4.737143812133526,-4.18360884804625,-4.316058519054922,-5.076360922090517,-5.334475866841659,-4.647805393914739,-4.074845178864139,95.03709042332775,-12.728794365451934,15.272518945702585,16.504649822807195,37.84302356277247,28.82116883992647,13.832878931169246,1.2718622901253251,0.05532766039825435,0.055321036742534815,0.05499999999999999,0.055123215281070635,0.05532418756639447,0.05531173857410376,0.05512733145315169,0.055123215305424876,0.05543630562396637,0.05519415923664921,0.05519624543271017,0.055195059215816876,0.05511643829542006,0.05603429107358132,0.056034289099919726,0.05519505338874652
2020.9726775956285,-4.935338618117235,-4.671936648104058,-4.25170542850406,-4.344291741342765,-4.982000086362071,-5.2272659860630455,-4.697132403808091,-3.9978797744533168,95.72497619914077,-12.896429801512177,15.881397263606267,16.981562228068903,38.049262005679374,28.896982187887055,13.62842914753859,1.4924837307139782,0.05532765724388933,0.05532103398091455,0.054999999999999986,0.05512321531059183,0.05532418506948906,0.05531173650584111,0.05512733134445075,0.05512321520866906,0.055436172553168545,0.05519410362107258,0.05519625958611741,0.05519505787816339,0.055116438907994864,0.056034292385469565,0.056034290268361125,0.05519504594856659
2021.6713470319635,-4.985223000963934,-4.7180626726595065,-4.1986908129176825,-4.280341324047754,-5.0117718808362355,-5.237970380433943,-4.629005834866362,-3.9547909691517447,95.91597252656126,-13.082364021532733,16.156735649919263,15.896396834969018,38.104860924703665,29.18583254063467,13.74347012472743,1.5371858143042871,0.055327659596424016,0.05532103569861286,0.05500000000000001,0.0551232152630896,0.05532418712469495,0.055311738352402384,0.055127331358648377,0.05512321521715786,0.05543618923071298,0.05519410670732382,0.0551962624638373,0.055195058996024005,0.055116439013046276,0.056034291475930455,0.056034289250438386,0.05519504868725072
2021.6877853881278,-4.983004286140957,-4.715868743454532,-4.198205137584399,-4.284746621119329,-5.010546941186522,-5.2428557376082985,-4.626411309771594,-3.9671648502381807,95.87768486069015,-13.119258637284137,16.129859182256734,16.050545841250763,38.22954542637147,29.19871639112115,13.75041580503611,1.5053002723752762,0.0553276600339032,0.05532103601755866,0.05500000000000001,0.05512321525314743,0.05532418761725532,0.05531173839005584,0.05512733137935283,0.05512321524244781,0.05543618896290915,0.05519410677232289,0.05519626253402533,0.05519505917446949,0.05511643951689546,0.05603429149715842,0.056034289378340145,0.055195048749594376
2021.6905251141552,-4.98254189651437,-4.712403700590784,-4.194693575820807,-4.2921034451026685,-5.012085206312911,-5.2453807556362975,-4.6407470520870575,-3.9805030329631563,95.87791925125266,-13.111901961071482,16.137275363314885,16.093995361288194,38.24522647466466,29.199449979921965,13.753031333330057,1.5126867010106793,0.05532765993686705,0.05532103593342803,0.05500000000000001,0.05512321525125093,0.05532418751254949,0.05531173834444825,0.055127331425704806,0.05512321528343388,0.05543618588444848,0.05519410620270812,0.055196262215761106,0.05519505902557428,0.055116439708429305,0.056034291861720195,0.05603428950207244,0.05519504830559143
2021.7206621004566,-4.994938965302564,-4.675805019699331,-4.179432284562301,-4.330662474377744,-4.963747121861095,-5.228143545060737,-4.674393370790453,-3.9861448908051766,96.05381940938629,-13.164834040430007,16.274631501694834,16.102383311983324,38.20586842975815,29.174073883281302,13.745734237874396,1.5548987307989481,0.05532766108270437,0.05532103691027664,0.05500000000000001,0.05512321527309144,0.05532418747804719,0.05531174236279376,0.055127331472754205,0.05512321531970515,0.05543618879311267,0.05519410867487144,0.055196261507926926,0.05519505923513056,0.055116439353250314,0.05603429154051855,0.056034289371206254,0.05519504904830593
2021.7753424657535,-5.0252228302738455,-4.610667478782693,-4.228374403364432,-4.314934047261465,-4.891375004006937,-5.276004598292472,-4.662567492402792,-3.9393060368986266,96.15643855101497,-13.090020352407583,16.390780423286564,16.20322641673888,38.232123733689114,29.179386309557962,13.72867923890575,1.6503800356615361,0.055327659644313014,0.05532103340195114,0.05500000000000001,0.05512321525439604,0.05532418448616596,0.05531173825223955,0.05512733138381214,0.05512321523676215,0.05543617457121281,0.05519410394456201,0.05519625873780725,0.05519505842632541,0.055116439643109444,0.05603429184434103,0.05603428949915174,0.05519504530249262
2025.5014840182648,-4.9227652388350585,-4.629791716392884,-4.35568392959107,-4.159202734499434,-4.829295794872568,-5.004368439143203,-4.432796474163059,-3.5369894875736385,99.0177704418005,-12.959822158042922,19.03344722425926,15.408443530151583,38.62965356343784,29.92740231716473,13.4937155988335,3.0368125331636797,0.055327661041294975,0.055321036304763045,0.05500000000000001,0.055123215210183894,0.055324188522779115,0.05531173934035641,0.055127331366480244,0.05512321514416349,0.05543621761457392,0.05519410743988297,0.05519626849320504,0.05519505834133255,0.055116441579463556,0.056034292420280005,0.05603428955410971,0.055195050538891365
2025.5042237442922,-4.918840626894072,-4.63001082237624,-4.357182014275152,-4.16132798528035,-4.830585599829851,-5.009851566456502,-4.440872211824987,-3.5418855702518126,97.6921471429748,-11.675323663057346,17.744982388406825,15.454142287901762,38.66761987250666,29.928044802202123,13.228204136989108,3.0348293627302514,0.05532766154387875,0.05532103622321378,0.05500000000000001,0.055123215219809084,0.05532418812324935,0.0553117389811525,0.055127331454501695,0.055123215192292345,0.055436234004388775,0.055194100688628844,0.055196273843538014,0.05519505871950529,0.055116441754441074,0.05603429250300768,0.05603428984179136,0.05519505060555511
2025.5124429223745,-4.921116023681726,-4.6460889606692035,-4.350658305618538,-4.149251647600494,-4.831623972911814,-5.014715648510304,-4.411124586045645,-3.531397066325326,99.05423932932145,-12.96946807249899,19.053093171406132,15.32946804760904,38.58819005575498,29.935440568396032,13.127725631001397,3.0418125493980597,0.0553276615631744,0.05532103701942485,0.05500000000000001,0.055123215229256096,0.0553241891824118,0.05531174081597289,0.05512733127238838,0.05512321518380084,0.05543622364913906,0.0551941089512258,0.055196269492886085,0.055195061163517474,0.05511644106197869,0.05603429185836397,0.05603428922203639,0.05519505177671544
