Date,19 September 2019
Reference,KJ Lab Diary2 p.97
w,1e4
s1,-0.165700,0.168550
s2,0.091850,0.167900
s3,0.112010,0.165290
s4,0.000020,0.169600
s5,0.251820,0.166460
s6,-0.010160,0.168000
s7,-0.088690,0.167450
s8,-0.026030,0.169430
s9,-0.135800,0.169000
s10,-0.202110,0.169130
s11,-0.016870,0.168180
s12,-0.165700,0.168010
