Date,09-Sep-21,
Reference,KJ Lab Diary 2 p.133
w,1.00E+04
s1,-0.171480,0.180230
s2,0.089180,0.178630
s3,0.116390,0.175810
s4,0.000850,0.179940
s5,0.257490,0.174900
s6,-0.007730,0.176300
s7,-0.097610,0.175000
s8,-0.021840,0.175400
s9,-0.159460,0.176140
s10,-0.199760,0.174930
s11,-0.006520,0.174650
s12,-0.171430,0.174540
