Date,11-Oct-21,
Reference, Minyu lab book
w,1.00E+04
s1,-0.170670,0.167162
s2,0.090041,0.166802
s3,0.117461,0.165312
s4,0.001861,0.169062
s5,0.258691,0.165672
s6,-0.006741,0.169342
s7,-0.096981,0.167944
s8,-0.020881,0.168004
s9,-0.159331,0.168494
s10,-0.198671,0.167564
s11,-0.005261,0.167107
s12,-0.170691,0.166897
