Date,03-Sep-21
Reference,KJ Lab Diary 2 p.131
w,1.00E+04
r1,1.108100,-0.183800
r2,0.815800,-0.182600
r3,0.075120,-0.159630
r4,0.010200,-0.175100
r5,0.012870,-0.185530
r6,0.009930,-0.164150
r7,0.007660,-0.163980
r8,0.218670,-0.178480
r9,0.010100,-0.172080
r10,0.011000,-0.169250
r11,0.014490,-0.181600
r12,0.007750,-0.180030
r13,-0.412280,-0.174730
r14,-0.316450,-0.121140
r15,-0.162090,-0.115940
