File information for this summary
Summary produced,2021-08-27 12:05:22.354248
List of files held in,G:\My Drive\KJ\PycharmProjects\CapacitanceScale\main_2021-08-23_a.csv
Working directory,G:\My Drive\KJ\PycharmProjects\CapacitanceScale\new_datastore
Dial input,dialcal_in_2019-10-16_a.csv
Dial output,dialcal_out_2019-10-16_a.csv
Permutable,comp_permute_2019-11-15.csv
Ratio input,ratiocal_in_2019-11-15.csv
Ratio output,ratiocal_out_2019-11-15.csv
Scale input,capcal_in_2019-11-15.csv
Scale output,capcal_out_2019-11-15.csv
Leads and caps,comp_leads_caps_2019-10-16.csv
Reference,reference_val_2021-08-24.csv

Input for calibrating the main dials
Date,16 October 2019
Reference,KJ Lab Diary2 p.107
w,1e4
alpha1,1.000098,2e-06
beta1,-0.000704,2e-06
alpha2,-0.00013,2e-06
beta2,0.99997,2e-06
r,0.01
k,0.2000000
c1,es14
c2,gr1000b
z3,99724.19,0.1,1.4e-10,5e-15

Calculated dial factors
Date,16 October 2019
Reference,KJ Lab Diary2 p.107
Name,real,u,imag,u,df
factora,0.9999021011078773,1.9996089360472396e-06,0.000702010627189275,1.9943496678102035e-06,inf
factorb,0.9972719094186641,2.23125675367739e-06,-0.00012999117287781036,1.999864414953247e-06,inf

Input for calibrating the main 10:1 ratio
Components of permutable capacitor circuit
component,real,imaginary
za,0.065128,0.004269
ya,5e-11,6.491500000000001e-07
zinta,0.02606,0.002417
y3,2.09e-10,6.0527e-08
y4Y2,6.4e-09,3.1817999999999998e-06
zb,0.065498,0.0043300000000000005
yb,5e-11,6.438e-07
zintb,0.4169999999999998,0.002515
y1,2.09e-10,6.0527e-08
y2Y1,7.41e-10,4.0168e-07
pc1,10.000144
pc2,10.000304
pc3,10.000218
pc4,10.000151
pc5,10.000200
pc6,10.000138
pc7,9.9998906
pc8,10.000130
pc9,10.000025
pc10,10.000043
pc11,10.000277

Balance readings
Date,15 November 2019
Reference,KJ Lab Diary2 p.117
w,1e4
s1,-0.166400,0.168700
s2,0.091340,0.170270
s3,0.113550,0.168890
s4,-0.000250,0.170230
s5,0.249770,0.167580
s6,-0.009570,0.173700
s7,-0.089670,0.172390
s8,-0.024010,0.171770
s9,-0.138560,0.171400
s10,-0.201940,0.170870
s11,-0.015090,0.168600
s12,-0.166400,0.167260

Calculated 10:1 ratio
Date,15 November 2019
Reference,KJ Lab Diary2 p.117
Name,real,u,imag,u,df
ratio,10.000017686925732,2.7719082687142265e-08,-0.00017184925638282712,4.6282119522844574e-07,inf

Input for capacitance scale
Date,15 November 2019
Reference,KJ Lab Diary2 p.119
w,1e4
r1,1.09530,-0.171600
r2,0.815200,0.173700
r3,0.071380,-0.121580
r4,0.008940,-0.157950
r5,0.011560,-0.166460
r6,0.008170,-0.149500
r7,0.005580,-0.150660
r8,0.223730,-0.170130
r9,0.009030,-0.158210
r10,0.010250,-0.152040
r11,0.013570,-0.172170
r12,0.007840,-0.170230
r13,-0.410960,-0.164390
r14,-0.313750,-0.112200
r15,-0.163860,-0.106820

Calculated capacitance values
Name,capacitance/pF,u/pF,conductance/nS,u/nS
AH11A1,9.999950440954962,5.53273861662697e-07,7.502778043061613e-05,3.1119964172466684e-05
AH11B1,9.99995306459535,5.532077707057838e-07,0.00016104391115140686,3.11147155786439e-05
AH11C1,99.999586,5.4999772300000005e-06,0.001899992134,0.000299998758
AH11D1,99.9995727558554,5.5122979757871415e-06,0.0024540586672986164,0.0003000413103944182
AH11A2,9.999949672188018,5.532390907356865e-07,-8.722114986567975e-06,3.11176993703987e-05
AH11B2,9.999947091054647,5.531144587238535e-07,6.567530767841896e-06,3.110029528265119e-05
AH11C2,99.99953957836424,5.512707760719639e-06,0.000441242309846514,0.00030004468577218173
AH11D2,99.99959687465746,5.51229930668924e-06,0.0006398577427066485,0.0003000413826994322
ES14,0.5000475401976725,2.7720786080832095e-08,-9.492882678491653e-05,1.5909167714794518e-06
ES13,4.9999365725295215,2.7596727335165463e-07,-0.0009460328800047499,1.538785078448071e-05
ES16,5.000076581503644,2.759854472747949e-07,0.000774979896151268,1.538868323652533e-05
GR10,10.000165482588727,5.519597258842217e-07,0.00031202913574159794,3.07769548794029e-05
GR100,100.00378866246182,5.511852645831226e-06,0.002456647997505522,0.00030423948933648294
GR1000A,1000.0288648596511,5.603590812621314e-05,0.08260147158212289,0.0031067225386260445
GR1000B,1000.0138765768118,5.603506623591385e-05,0.08807249409007833,0.003106676901817505
ES13ES16,10.000013154033168,5.519512576912586e-07,-0.00017105298385348166,3.0776485695245224e-05

Leads and capacitors summary as at input (no updated best values)
Leads
Name,rel unc,ang freq,C pF,G nS,r ohm,l microH
hv1,0.05,10000.0,255.20000000000002,0.28,0.286,0.7820000000000001
hv2,0.05,10000.0,260.6,0.3,0.16,0.83
lv1,0.05,10000.0,93.60000000000001,0.2,0.302,0.616
lv2,0.05,10000.0,169.8,0.36,0.273,1.101
xfrm,0.05,10000.0,52.39999999999999,0.34,0.037,0.8099999999999999
no_lead,0.05,10000.0,0.0,0.0,0.0,0.0
Capacitors
Name,C pF,u pF,G nS,u nS,yhv pF,yhv nS,ylv pF,ylv nS,ang freq
ah11a1,10.0,1e-11,0.0,1e-12,84.2,1.6199999999999999,120.80000000000003,0.72,10000.0
ah11b1,10.0,1e-11,0.0,1e-12,83.6,2.48,117.5,0.7,10000.0
