Date,25-Jun-25,
Reference, p38 E005 Cap Scale lab book
w,1.00E+04
s1,-0.18583,0.16384
s2,0.088234,0.162684
s3,0.12312,0.16146
s4,0.00511,0.16417
s5,0.2852,0.16157
s6,-0.003304,0.16647
s7,-0.119004,0.16297
s8,-0.025704,0.16387
s9,-0.172504,0.16395
s10,-0.197044,0.16195
s11,0.007123,0.162641
s12,-0.185853,0.161251
