Date,3-Nov-25,
Reference, p84 E005 Cap Scale lab book
w,1.00E+04
s1,-0.185686,0.159107
s2,0.088930,0.158487
s3,0.124030,0.158187
s4,0.006030,0.161687
s5,0.286740,0.157787
s6,-0.002240,0.161787
s7,-0.118970,0.160787
s8,-0.025270,0.161087
s9,-0.172470,0.161587
s10,-0.195770,0.160367
s11,0.008970,0.159777
s12,-0.185670,0.159397
