Date,9-Jul-25,
Reference, Cap Scale lab book
w,1.00E+04
s1,-0.186046,0.160155
s2,0.088156,0.159965
s3,0.123176,0.160045
s4,0.005036,0.162685
s5,0.284836,0.159285
s6,-0.003196,0.156755
s7,-0.119196,0.154355
s8,-0.025636,0.159875
s9,-0.172746,0.160575
s10,-0.197186,0.158485
s11,0.007186,0.156265
s12,-0.186036,0.160455
