Date,04-Jul-25
Reference,cap scale
w,1.00E+04
r1,1.111132,-0.07893
r2,0.817052,-0.154053
r3,0.091052,-0.135153
r4,0.011822,-0.144772
r5,0.014712,-0.163472
r6,0.012702,-0.139672
r7,0.010902,-0.141562
r8,0.215212,-0.159502
r9,0.011842,-0.149052
r10,0.009852,-0.148952
r11,0.012652,-0.163652
r12,0.003662,-0.154522
r13,-0.417862,-0.157792
r14,-0.326072,-0.108702
r15,-0.159142,-0.104282
Conditions
AH1,30.4,0.029
AH2,29.8,0.029
GRin,23.63024,0.00017
GRout,23.60530,0.00088
AB1,20.00,0.01
Sball,23.4629,0.0019
Perm,23.1440,0.0018
Barom,1008.45,0.05
